site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
101,2013,Q1,144,1,0,0,1,0,0,0
101,2015,Q1,120,1,1,0,0,0,0,0
101,2016,Q1,108,4,2,0,2,0,0,0
101,2017,Q1,96,7,1,0,3,0,3,0
101,2019,Q1,72,3,0,0,0,0,3,0
101,2020,Q1,60,6,3,0,2,0,1,0
101,2021,Q1,48,3,0,0,0,1,2,0
101,2022,Q1,36,3,1,0,0,0,2,0
101,2023,Q1,24,4,2,0,0,0,2,0
101,2024,Q1,12,5,2,0,1,0,2,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1022,2019,Q1,72,1,0,0,1,0,0,0
1022,2020,Q1,60,3,2,0,0,0,1,0
1022,2021,Q1,48,2,1,0,1,0,0,0
1022,2022,Q1,36,3,1,0,1,0,1,0
1022,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1023,2015,Q1,120,1,0,0,1,0,0,0
1023,2016,Q1,108,1,0,0,1,0,0,0
1023,2018,Q1,84,2,0,0,2,0,0,0
1023,2019,Q1,72,1,0,0,0,0,1,0
1023,2022,Q1,36,1,1,0,0,0,0,0
1023,2023,Q1,24,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1024,2013,Q1,144,1,1,0,0,0,0,0
1024,2015,Q1,120,1,0,0,0,0,1,0
1024,2016,Q1,108,1,1,0,0,0,0,0
1024,2017,Q1,96,1,1,0,0,0,0,0
1024,2018,Q1,84,4,2,1,1,0,0,0
1024,2019,Q1,72,2,0,0,2,0,0,0
1024,2020,Q1,60,1,0,1,0,0,0,0
1024,2021,Q1,48,1,1,0,0,0,0,0
1024,2023,Q1,24,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1025,2015,Q1,120,1,0,0,0,0,1,0
1025,2017,Q1,96,1,0,0,0,0,1,0
1025,2020,Q1,60,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1027,2011,Q1,168,2,1,0,0,0,1,0
1027,2012,Q1,156,4,1,0,0,0,3,0
1027,2014,Q1,132,2,0,0,1,0,1,0
1027,2015,Q1,120,1,1,0,0,0,0,0
1027,2016,Q1,108,1,0,0,0,0,1,0
1027,2017,Q1,96,1,1,0,0,0,0,0
1027,2018,Q1,84,2,0,0,1,0,1,0
1027,2019,Q1,72,2,0,0,0,0,2,0
1027,2020,Q1,60,6,2,1,0,1,2,0
1027,2021,Q1,48,4,4,0,0,0,0,0
1027,2022,Q1,36,2,1,0,0,0,1,0
1027,2023,Q1,24,1,1,0,0,0,0,0
1027,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1028,2012,Q1,156,1,1,0,0,0,0,0
1028,2013,Q1,144,1,0,0,1,0,0,0
1028,2014,Q1,132,1,0,0,1,0,0,0
1028,2015,Q1,120,1,0,0,0,0,1,0
1028,2020,Q1,60,1,0,0,0,0,1,0
1028,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1029,2012,Q1,156,4,2,2,0,0,0,0
1029,2013,Q1,144,1,0,1,0,0,0,0
1029,2014,Q1,132,1,1,0,0,0,0,0
1029,2015,Q1,120,3,1,0,1,0,1,0
1029,2016,Q1,108,6,0,0,2,0,4,0
1029,2018,Q1,84,4,1,1,1,0,1,0
1029,2019,Q1,72,2,1,0,0,0,1,0
1029,2020,Q1,60,3,2,0,1,0,0,0
1029,2022,Q1,36,2,1,0,0,0,1,0
1029,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
102,2012,Q1,156,4,0,0,1,0,3,0
102,2013,Q1,144,2,2,0,0,0,0,0
102,2014,Q1,132,3,1,0,2,0,0,0
102,2016,Q1,108,3,1,1,0,0,1,0
102,2017,Q1,96,5,4,0,0,0,1,0
102,2018,Q1,84,3,2,1,0,0,0,0
102,2019,Q1,72,1,1,0,0,0,0,0
102,2020,Q1,60,1,0,1,0,0,0,0
102,2021,Q1,48,1,0,0,0,0,1,0
102,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1032,2012,Q1,156,2,1,0,0,0,1,0
1032,2014,Q1,132,1,1,0,0,0,0,0
1032,2017,Q1,96,1,0,0,1,0,0,0
1032,2018,Q1,84,2,0,0,2,0,0,0
1032,2020,Q1,60,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1033,2012,Q1,156,2,0,1,0,0,1,0
1033,2014,Q1,132,1,0,0,0,0,1,0
1033,2015,Q1,120,1,0,0,1,0,0,0
1033,2017,Q1,96,1,0,0,0,0,1,0
1033,2019,Q1,72,2,0,0,2,0,0,0
1033,2021,Q1,48,1,0,0,0,0,1,0
1033,2022,Q1,36,1,1,0,0,0,0,0
1033,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1034,2012,Q1,156,1,0,0,0,0,1,0
1034,2018,Q1,84,2,0,0,1,0,1,0
1034,2022,Q1,36,2,1,0,1,0,0,0
1034,2023,Q1,24,1,1,0,0,0,0,0
1034,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1035,2024,Q1,12,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1038,2014,Q1,132,1,1,0,0,0,0,0
1038,2015,Q1,120,1,1,0,0,0,0,0
1038,2016,Q1,108,1,0,0,1,0,0,0
1038,2019,Q1,72,2,1,0,0,0,1,0
1038,2020,Q1,60,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1039,2017,Q1,96,1,0,0,0,0,1,0
1039,2022,Q1,36,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1040,2011,Q1,168,2,2,0,0,0,0,0
1040,2013,Q1,144,3,0,0,2,0,1,0
1040,2014,Q1,132,3,0,0,1,0,2,0
1040,2015,Q1,120,5,2,0,1,0,2,0
1040,2016,Q1,108,4,0,2,1,0,1,0
1040,2017,Q1,96,3,1,0,1,0,1,0
1040,2018,Q1,84,5,3,0,0,0,2,0
1040,2020,Q1,60,2,1,0,0,0,1,0
1040,2021,Q1,48,3,3,0,0,0,0,0
1040,2023,Q1,24,1,0,0,0,0,1,0
1040,2024,Q1,12,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
