Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Liwonde Medical Clinic,36,1003,Children below 24m at ART initiation,1.0,8.0,Q1 2025
Liwonde Medical Clinic,37,1003,Children 24m - 14 yrs at ART initiation,0.0,29.0,Q1 2025
Liwonde Medical Clinic,38,1003,Adults 15 years+ at ART initiation,9.0,872.0,Q1 2025
Liwonde Medical Clinic,39,1003,Pres.Sev.HIV disease age < 12m,0.0,2.0,Q1 2025
Liwonde Medical Clinic,40,1003,PCR Infants < 12 mths PCR,0.0,0.0,Q1 2025
Liwonde Medical Clinic,41,1003,U5 Children 12 - 59 mths,0.0,2.0,Q1 2025
Liwonde Medical Clinic,42,1003,Pregnant women,0.0,13.0,Q1 2025
Liwonde Medical Clinic,43,1003,Breastfeeding mothers,0.0,0.0,Q1 2025
Liwonde Medical Clinic,44,1003,CD4 below threshold,0.0,24.0,Q1 2025
Liwonde Medical Clinic,45,1003,Asymptomatic / mild,10.0,698.0,Q1 2025
Liwonde Medical Clinic,46,1003,WHO Stage 3,0.0,111.0,Q1 2025
Liwonde Medical Clinic,47,1003,WHO Stage 4,0.0,32.0,Q1 2025
Liwonde Medical Clinic,48,1003,Unknown / reason outside guidelines,0.0,27.0,Q1 2025
Liwonde Medical Clinic,49,1003,Never TB / TB over 2 years ago,10.0,900.0,Q1 2025
Liwonde Medical Clinic,50,1003,TB within the last 2 years,0.0,1.0,Q1 2025
Liwonde Medical Clinic,51,1003,Current episode of TB,0.0,8.0,Q1 2025
Liwonde Medical Clinic,52,1003,Kaposis Sarcoma,0.0,9.0,Q1 2025
Liwonde Medical Clinic,53,1003,Total alive and on ART,,117.0,Q1 2025
Liwonde Medical Clinic,54,1003,M1 Died within the 1st month after ART initiation,,11.0,Q1 2025
Liwonde Medical Clinic,55,1003,M2 Died within the 2nd month after ART initiation,,5.0,Q1 2025
Liwonde Medical Clinic,56,1003,M3 Died within the 3rd month after ART initiation,,2.0,Q1 2025
Liwonde Medical Clinic,57,1003,M4+ Died after the end of the 3rd month after ART initiation,,20.0,Q1 2025
Liwonde Medical Clinic,58,1003,Died total,,38.0,Q1 2025
Liwonde Medical Clinic,59,1003,Defaulted (more than 2 months overdue after expected to have run out of ARVs),,540.0,Q1 2025
Liwonde Medical Clinic,60,1003,"Stopped taking ARVs (clinician or patient own decision, last known alive)",,38.0,Q1 2025
Liwonde Medical Clinic,61,1003,Transferred Out,,176.0,Q1 2025
Liwonde Medical Clinic,64,1003,Regimen 0P,,0.0,Q1 2025
Liwonde Medical Clinic,64,1003,Regimen 0A,,0.0,Q1 2025
Liwonde Medical Clinic,65,1003,Regimen 2P,,0.0,Q1 2025
Liwonde Medical Clinic,65,1003,Regimen 2A,,0.0,Q1 2025
Liwonde Medical Clinic,66,1003,Regimen 4PP,,0.0,Q1 2025
Liwonde Medical Clinic,66,1003,Regimen 4PA,,0.0,Q1 2025
Liwonde Medical Clinic,66,1003,Regimen 4A,,0.0,Q1 2025
Liwonde Medical Clinic,67,1003,Regimen 5A,,0.0,Q1 2025
Liwonde Medical Clinic,68,1003,Regimen 6A,,0.0,Q1 2025
Liwonde Medical Clinic,69,1003,Regimen 7A,,0.0,Q1 2025
Liwonde Medical Clinic,70,1003,Regimen 8A,,0.0,Q1 2025
Liwonde Medical Clinic,71,1003,Regimen 9PP,,0.0,Q1 2025
Liwonde Medical Clinic,71,1003,Regimen 9PA,,0.0,Q1 2025
Liwonde Medical Clinic,71,1003,Regimen 9A,,0.0,Q1 2025
Liwonde Medical Clinic,72,1003,Regimen 10A,,0.0,Q1 2025
Liwonde Medical Clinic,73,1003,Regimen 11PP,,0.0,Q1 2025
Liwonde Medical Clinic,73,1003,Regimen 11PA,,0.0,Q1 2025
Liwonde Medical Clinic,73,1003,Regimen 11A,,0.0,Q1 2025
Liwonde Medical Clinic,74,1003,Regimen 12PP,,0.0,Q1 2025
Liwonde Medical Clinic,74,1003,Regimen 12PA,,0.0,Q1 2025
Liwonde Medical Clinic,74,1003,Regimen 12A,,0.0,Q1 2025
Liwonde Medical Clinic,75,1003,Regimen 13A,,117.0,Q1 2025
Liwonde Medical Clinic,76,1003,Regimen 14PP,,0.0,Q1 2025
Liwonde Medical Clinic,76,1003,Regimen 14PA,,0.0,Q1 2025
Liwonde Medical Clinic,76,1003,Regimen 14A,,0.0,Q1 2025
Liwonde Medical Clinic,77,1003,Regimen 15PP,,0.0,Q1 2025
Liwonde Medical Clinic,77,1003,Regimen 15PA,,0.0,Q1 2025
Liwonde Medical Clinic,77,1003,Regimen 15A,,0.0,Q1 2025
Liwonde Medical Clinic,78,1003,Regimen 16A,,0.0,Q1 2025
Liwonde Medical Clinic,78,1003,Regimen 16P,,0.0,Q1 2025
Liwonde Medical Clinic,79,1003,Regimen 17PP,,0.0,Q1 2025
Liwonde Medical Clinic,79,1003,Regimen 17PA,,0.0,Q1 2025
Liwonde Medical Clinic,79,1003,Regimen 17A,,0.0,Q1 2025
