site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
359,Mangochi District Hospital,TX_RTT,Male,All,2025-08-26 01:24:06.785570+00:00,94,0,0
359,Mangochi District Hospital,TX_RTT,Female,20-24 years,2025-08-26 01:24:06.785570+00:00,4,0,0
359,Mangochi District Hospital,TX_RTT,Female,60-64 years,2025-08-26 01:24:06.785570+00:00,2,0,0
359,Mangochi District Hospital,TX_RTT,Male,60-64 years,2025-08-26 01:24:06.785570+00:00,4,0,0
359,Mangochi District Hospital,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.785570+00:00,16,0,0
359,Mangochi District Hospital,TX_RTT,Male,10-14 years,2025-08-26 01:24:06.785570+00:00,4,0,0
359,Mangochi District Hospital,TX_RTT,Male,5-9 years,2025-08-26 01:24:06.785570+00:00,4,0,0
359,Mangochi District Hospital,TX_RTT,Male,65-69 years,2025-08-26 01:24:06.785570+00:00,1,0,0
359,Mangochi District Hospital,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.785570+00:00,4,0,0
359,Mangochi District Hospital,TX_RTT,Male,20-24 years,2025-08-26 01:24:06.785570+00:00,7,0,0
359,Mangochi District Hospital,TX_RTT,Male,25-29 years,2025-08-26 01:24:06.785570+00:00,1,0,0
359,Mangochi District Hospital,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.785570+00:00,16,0,0
359,Mangochi District Hospital,TX_RTT,Female,10-14 years,2025-08-26 01:24:06.785570+00:00,3,0,0
359,Mangochi District Hospital,TX_RTT,Male,70-74 years,2025-08-26 01:24:06.785570+00:00,2,0,0
359,Mangochi District Hospital,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.785570+00:00,10,0,0
359,Mangochi District Hospital,TX_RTT,Male,1-4 years,2025-08-26 01:24:06.785570+00:00,2,0,0
359,Mangochi District Hospital,TX_RTT,Female,55-59 years,2025-08-26 01:24:06.785570+00:00,1,0,0
359,Mangochi District Hospital,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.785570+00:00,17,0,0
359,Mangochi District Hospital,TX_RTT,Female,5-9 years,2025-08-26 01:24:06.785570+00:00,2,0,0
359,Mangochi District Hospital,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.785570+00:00,12,0,0
359,Mangochi District Hospital,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.785570+00:00,7,0,0
359,Mangochi District Hospital,TX_RTT,Male,15-19 years,2025-08-26 01:24:06.785570+00:00,4,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
433,Mlangeni Health Centre,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.788093+00:00,1,0,0
433,Mlangeni Health Centre,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.788093+00:00,1,0,0
433,Mlangeni Health Centre,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.788093+00:00,1,0,0
433,Mlangeni Health Centre,TX_RTT,Female,55-59 years,2025-08-26 01:24:06.788093+00:00,1,0,0
433,Mlangeni Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.788093+00:00,3,0,0
433,Mlangeni Health Centre,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.788093+00:00,1,0,0
433,Mlangeni Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.788093+00:00,3,0,0
433,Mlangeni Health Centre,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.788093+00:00,1,0,0
