site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
194,Jenda Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.868631+00:00,0,0,2,0,0,0
194,Jenda Health Centre,TX_ML,Female,10-14 years,2025-08-26 01:24:06.868631+00:00,0,0,2,0,0,0
194,Jenda Health Centre,TX_ML,Male,25-29 years,2025-08-26 01:24:06.868631+00:00,0,0,0,0,1,0
194,Jenda Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.868631+00:00,0,0,0,0,1,0
194,Jenda Health Centre,TX_ML,Male,50-54 years,2025-08-26 01:24:06.868631+00:00,0,0,2,0,0,0
194,Jenda Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.868631+00:00,0,0,0,0,1,0
194,Jenda Health Centre,TX_ML,Male,40-44 years,2025-08-26 01:24:06.868631+00:00,0,0,0,0,1,0
194,Jenda Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.868631+00:00,1,0,1,0,0,0
194,Jenda Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.868631+00:00,0,0,9,0,1,0
194,Jenda Health Centre,TX_ML,Female,5-9 years,2025-08-26 01:24:06.868631+00:00,0,0,1,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
248,Kasinje Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.870028+00:00,0,1,45,0,0,0
248,Kasinje Health Centre,TX_ML,Male,80-84 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.870028+00:00,1,0,29,0,0,0
248,Kasinje Health Centre,TX_ML,Male,10-14 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,85-89 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,50-54 years,2025-08-26 01:24:06.870028+00:00,0,0,5,0,0,0
248,Kasinje Health Centre,TX_ML,Female,55-59 years,2025-08-26 01:24:06.870028+00:00,0,0,2,0,0,0
248,Kasinje Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.870028+00:00,0,0,4,0,2,0
248,Kasinje Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.870028+00:00,0,0,9,0,0,0
248,Kasinje Health Centre,TX_ML,Female,10-14 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,50-54 years,2025-08-26 01:24:06.870028+00:00,0,0,6,0,0,0
248,Kasinje Health Centre,TX_ML,Male,55-59 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,1-4 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,65-69 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,35-39 years,2025-08-26 01:24:06.870028+00:00,0,0,10,0,0,0
248,Kasinje Health Centre,TX_ML,Female,60-64 years,2025-08-26 01:24:06.870028+00:00,0,0,2,0,0,0
248,Kasinje Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,1,0
248,Kasinje Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.870028+00:00,0,0,4,0,0,0
248,Kasinje Health Centre,TX_ML,Male,35-39 years,2025-08-26 01:24:06.870028+00:00,0,0,3,0,0,0
248,Kasinje Health Centre,TX_ML,Female,40-44 years,2025-08-26 01:24:06.870028+00:00,0,1,8,0,0,0
248,Kasinje Health Centre,TX_ML,Male,25-29 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,30-34 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Female,45-49 years,2025-08-26 01:24:06.870028+00:00,0,0,6,0,0,0
248,Kasinje Health Centre,TX_ML,Male,20-24 years,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,15-19 years,2025-08-26 01:24:06.870028+00:00,0,0,2,0,0,0
248,Kasinje Health Centre,TX_ML,FP,All,2025-08-26 01:24:06.870028+00:00,0,0,1,0,0,0
248,Kasinje Health Centre,TX_ML,Male,5-9 years,2025-08-26 01:24:06.870028+00:00,0,0,2,0,0,0
248,Kasinje Health Centre,TX_ML,Female,30-34 years,2025-08-26 01:24:06.870028+00:00,0,0,3,0,1,0
248,Kasinje Health Centre,TX_ML,Male,40-44 years,2025-08-26 01:24:06.870028+00:00,1,0,5,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
303,Liuzi Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.871168+00:00,0,0,1,0,0,0
303,Liuzi Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.871168+00:00,0,0,1,0,0,0
303,Liuzi Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.871168+00:00,0,0,4,0,0,0
303,Liuzi Health Centre,TX_ML,Male,30-34 years,2025-08-26 01:24:06.871168+00:00,0,0,1,0,0,0
303,Liuzi Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.871168+00:00,0,0,1,0,0,0
303,Liuzi Health Centre,TX_ML,Female,30-34 years,2025-08-26 01:24:06.871168+00:00,0,0,3,0,0,0
