site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
10,Area 25 Urban Health Centre,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.554603+00:00,85,1419,2371
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.554603+00:00,0,11,17
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.554603+00:00,2,49,5
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.554603+00:00,2,171,332
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.554603+00:00,10,76,144
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,60-64 years,2025-08-26 01:24:06.554603+00:00,1,34,65
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.554603+00:00,0,70,174
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.554603+00:00,31,315,377
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.554603+00:00,5,142,339
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.554603+00:00,2,49,101
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.554603+00:00,0,44,90
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,75-79 years,2025-08-26 01:24:06.554603+00:00,0,2,6
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.554603+00:00,34,125,101
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.554603+00:00,56,891,1546
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,85-89 years,2025-08-26 01:24:06.554603+00:00,0,1,0
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,1-4 years,2025-08-26 01:24:06.554603+00:00,0,3,21
10,Area 25 Urban Health Centre,TX_CURR_MMD,Unknown,20-24 years,2025-08-26 01:24:06.554603+00:00,0,0,1
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.554603+00:00,2,62,9
10,Area 25 Urban Health Centre,TX_CURR_MMD,Unknown,10-14 years,2025-08-26 01:24:06.554603+00:00,0,1,0
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
115,Chitekesa Health Centre,TX_CURR_MMD,Female,70-74 years,2025-08-26 01:24:06.578755+00:00,0,8,11
115,Chitekesa Health Centre,TX_CURR_MMD,Male,65-69 years,2025-08-26 01:24:06.578755+00:00,0,5,19
115,Chitekesa Health Centre,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.578755+00:00,2,80,176
115,Chitekesa Health Centre,TX_CURR_MMD,Female,60-64 years,2025-08-26 01:24:06.578755+00:00,1,15,43
115,Chitekesa Health Centre,TX_CURR_MMD,FP,All,2025-08-26 01:24:06.578755+00:00,5,14,58
115,Chitekesa Health Centre,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.578755+00:00,11,40,4
115,Chitekesa Health Centre,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.578755+00:00,8,32,48
115,Chitekesa Health Centre,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.578755+00:00,0,42,136
115,Chitekesa Health Centre,TX_CURR_MMD,Female,65-69 years,2025-08-26 01:24:06.578755+00:00,0,12,25
115,Chitekesa Health Centre,TX_CURR_MMD,Male,10-14 years,2025-08-26 01:24:06.578755+00:00,2,29,0
115,Chitekesa Health Centre,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.578755+00:00,10,268,640
115,Chitekesa Health Centre,TX_CURR_MMD,Male,20-24 years,2025-08-26 01:24:06.578755+00:00,0,10,15
115,Chitekesa Health Centre,TX_CURR_MMD,Female,40-44 years,2025-08-26 01:24:06.578755+00:00,9,98,208
115,Chitekesa Health Centre,TX_CURR_MMD,Female,25-29 years,2025-08-26 01:24:06.578755+00:00,15,42,70
115,Chitekesa Health Centre,TX_CURR_MMD,Male,25-29 years,2025-08-26 01:24:06.578755+00:00,1,11,23
115,Chitekesa Health Centre,TX_CURR_MMD,Female,75-79 years,2025-08-26 01:24:06.578755+00:00,0,5,6
115,Chitekesa Health Centre,TX_CURR_MMD,Female,5-9 years,2025-08-26 01:24:06.578755+00:00,0,6,4
115,Chitekesa Health Centre,TX_CURR_MMD,Female,1-4 years,2025-08-26 01:24:06.578755+00:00,0,3,1
115,Chitekesa Health Centre,TX_CURR_MMD,Male,80-84 years,2025-08-26 01:24:06.578755+00:00,0,2,2
