site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
16,Bangwe Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.258382+00:00,1,2,33
16,Bangwe Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.258382+00:00,1,1,45
16,Bangwe Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.258382+00:00,1,1,6
16,Bangwe Health Centre,TX_NEW,Male,15-19 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Male,60-64 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Female,55-59 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.258382+00:00,0,1,7
16,Bangwe Health Centre,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.258382+00:00,1,0,8
16,Bangwe Health Centre,TX_NEW,FBF,All,2025-08-26 01:24:06.258382+00:00,0,0,3
16,Bangwe Health Centre,TX_NEW,Male,5-9 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Male,10-14 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.258382+00:00,0,0,2
16,Bangwe Health Centre,TX_NEW,Male,1-4 years,2025-08-26 01:24:06.258382+00:00,0,0,3
16,Bangwe Health Centre,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.258382+00:00,0,0,4
16,Bangwe Health Centre,TX_NEW,Male,<1 years,2025-08-26 01:24:06.258382+00:00,0,0,2
16,Bangwe Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.258382+00:00,0,0,12
16,Bangwe Health Centre,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.258382+00:00,0,1,6
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
193,Jalasi Health Centre,TX_NEW,Male,55-59 years,2025-08-26 01:24:06.320545+00:00,0,0,1
193,Jalasi Health Centre,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.320545+00:00,0,0,2
193,Jalasi Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.320545+00:00,0,0,4
193,Jalasi Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.320545+00:00,0,0,6
193,Jalasi Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.320545+00:00,0,0,2
193,Jalasi Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.320545+00:00,0,0,2
193,Jalasi Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.320545+00:00,0,0,1
193,Jalasi Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.320545+00:00,0,0,4
193,Jalasi Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.320545+00:00,0,0,9
193,Jalasi Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.320545+00:00,0,0,3
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
194,Jenda Health Centre,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.321021+00:00,0,0,2
194,Jenda Health Centre,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.321021+00:00,0,0,1
194,Jenda Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.321021+00:00,0,0,9
194,Jenda Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.321021+00:00,0,0,7
194,Jenda Health Centre,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.321021+00:00,0,1,5
194,Jenda Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.321021+00:00,0,0,6
194,Jenda Health Centre,TX_NEW,FBF,All,2025-08-26 01:24:06.321021+00:00,0,0,1
194,Jenda Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.321021+00:00,0,0,23
194,Jenda Health Centre,TX_NEW,Male,85-89 years,2025-08-26 01:24:06.321021+00:00,0,0,1
194,Jenda Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.321021+00:00,1,0,3
194,Jenda Health Centre,TX_NEW,Female,10-14 years,2025-08-26 01:24:06.321021+00:00,0,0,1
194,Jenda Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.321021+00:00,0,0,6
194,Jenda Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.321021+00:00,0,0,10
194,Jenda Health Centre,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.321021+00:00,0,0,4
194,Jenda Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.321021+00:00,0,0,6
194,Jenda Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.321021+00:00,1,1,18
194,Jenda Health Centre,TX_NEW,Female,45-49 years,2025-08-26 01:24:06.321021+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
248,Kasinje Health Centre,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.320314+00:00,0,1,0
248,Kasinje Health Centre,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.320314+00:00,0,0,2
248,Kasinje Health Centre,TX_NEW,Female,65-69 years,2025-08-26 01:24:06.320314+00:00,0,1,0
248,Kasinje Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.320314+00:00,0,0,1
248,Kasinje Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.320314+00:00,0,0,1
248,Kasinje Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.320314+00:00,0,0,4
248,Kasinje Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.320314+00:00,0,1,2
248,Kasinje Health Centre,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.320314+00:00,0,0,1
248,Kasinje Health Centre,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.320314+00:00,0,1,0
248,Kasinje Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.320314+00:00,2,3,5
248,Kasinje Health Centre,TX_NEW,Female,55-59 years,2025-08-26 01:24:06.320314+00:00,1,0,0
248,Kasinje Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.320314+00:00,0,0,3
248,Kasinje Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.320314+00:00,1,1,0
248,Kasinje Health Centre,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.320314+00:00,0,0,2
248,Kasinje Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.320314+00:00,0,0,1
248,Kasinje Health Centre,TX_NEW,FBF,All,2025-08-26 01:24:06.320314+00:00,0,0,1
248,Kasinje Health Centre,TX_NEW,Female,45-49 years,2025-08-26 01:24:06.320314+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
303,Liuzi Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.320970+00:00,0,0,1
303,Liuzi Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.320970+00:00,0,0,2
303,Liuzi Health Centre,TX_NEW,FBF,All,2025-08-26 01:24:06.320970+00:00,0,0,1
303,Liuzi Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.320970+00:00,0,0,1
303,Liuzi Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.320970+00:00,0,0,1
303,Liuzi Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.320970+00:00,0,0,1
303,Liuzi Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.320970+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
359,Mangochi District Hospital,TX_NEW,Female,50-54 years,2025-08-26 01:24:06.321131+00:00,0,0,4
359,Mangochi District Hospital,TX_NEW,Female,55-59 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Female,75-79 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Female,5-9 years,2025-08-26 01:24:06.321131+00:00,0,0,2
359,Mangochi District Hospital,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.321131+00:00,0,0,7
359,Mangochi District Hospital,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.321131+00:00,0,0,9
359,Mangochi District Hospital,TX_NEW,Female,10-14 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Male,80-84 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.321131+00:00,0,0,3
359,Mangochi District Hospital,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.321131+00:00,0,0,8
359,Mangochi District Hospital,TX_NEW,Male,All,2025-08-26 01:24:06.321131+00:00,0,0,62
359,Mangochi District Hospital,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.321131+00:00,0,0,8
359,Mangochi District Hospital,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.321131+00:00,0,0,2
359,Mangochi District Hospital,TX_NEW,Male,5-9 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.321131+00:00,0,0,9
359,Mangochi District Hospital,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.321131+00:00,0,0,5
359,Mangochi District Hospital,TX_NEW,FNP,All,2025-08-26 01:24:06.321131+00:00,0,0,53
359,Mangochi District Hospital,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.321131+00:00,0,0,4
359,Mangochi District Hospital,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.321131+00:00,0,0,16
359,Mangochi District Hospital,TX_NEW,Female,65-69 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,FP,All,2025-08-26 01:24:06.321131+00:00,0,0,19
359,Mangochi District Hospital,TX_NEW,Female,70-74 years,2025-08-26 01:24:06.321131+00:00,0,0,1
359,Mangochi District Hospital,TX_NEW,Male,70-74 years,2025-08-26 01:24:06.321131+00:00,0,0,2
359,Mangochi District Hospital,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.321131+00:00,0,0,4
359,Mangochi District Hospital,TX_NEW,Female,<1 years,2025-08-26 01:24:06.321131+00:00,0,0,2
359,Mangochi District Hospital,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.321131+00:00,0,0,16
359,Mangochi District Hospital,TX_NEW,Female,45-49 years,2025-08-26 01:24:06.321131+00:00,0,0,4
359,Mangochi District Hospital,TX_NEW,Male,1-4 years,2025-08-26 01:24:06.321131+00:00,0,0,4
359,Mangochi District Hospital,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.321131+00:00,0,0,7
359,Mangochi District Hospital,TX_NEW,FBF,All,2025-08-26 01:24:06.321131+00:00,0,0,10
359,Mangochi District Hospital,TX_NEW,Male,15-19 years,2025-08-26 01:24:06.321131+00:00,0,0,3
359,Mangochi District Hospital,TX_NEW,Male,55-59 years,2025-08-26 01:24:06.321131+00:00,0,0,3
359,Mangochi District Hospital,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.321131+00:00,0,0,15
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
433,Mlangeni Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.334023+00:00,0,0,3
433,Mlangeni Health Centre,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.334023+00:00,0,0,2
433,Mlangeni Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.334023+00:00,0,0,5
